id,name,number,expiration,cvv,brand,balance
1,Aarika Loggie,5048379650666861,2024-07,114,mastercard,$90.53
2,Fields Cuddon,5048376377697690,2024-06,910,mastercard,$41.97
3,Sarine Hinkes,5048376524876494,2024-07,631,mastercard,$75.53
4,Madlen Besnard,5108753708512235,2025-10,285,mastercard,$47.31
5,Selle Farden,5108756588466323,2024-03,086,mastercard,$92.42
6,Clemmy Mecco,5048374750951859,2025-12,622,mastercard,$31.07
7,Remus Arran,5108752960208581,2024-01,848,mastercard,$49.37
8,Jesus Menichelli,5048375546058560,2026-09,972,mastercard,$26.75
9,Claudetta Keppel,5108755911750650,2023-07,622,mastercard,$74.62
10,Georgianne Pellatt,5048374832450573,2027-12,231,mastercard,$75.70
11,Keefe Kleinlerer,5108754351854890,2023-10,627,mastercard,$57.76
12,Ursola Grishakin,5108756575852402,2027-03,469,mastercard,$28.88
13,Ed Corrao,5108752054326091,2025-12,397,mastercard,$40.47
14,Mersey Hagwood,5048377131030129,2025-09,509,mastercard,$87.11
15,Zulema Eacle,5108754920510262,2025-04,613,mastercard,$15.77
16,Matthus Woodfine,5108755045944542,2025-02,416,mastercard,$75.62
17,Keene Djurevic,5108751619639030,2023-07,988,mastercard,$34.61
18,Anna-diana Halloway,5108755760522531,2025-07,656,mastercard,$31.98
19,Calla Drakes,5108757093851835,2024-02,052,mastercard,$23.53
20,Lynett Littrik,5108751735426742,2026-06,776,mastercard,$83.46
21,Charline Glowacz,5108751321301259,2023-08,984,mastercard,$63.42
22,Lona Floodgate,5108754386317855,2025-04,583,mastercard,$63.03
23,Lisetta Lorence,5048378768478409,2027-08,320,mastercard,$26.34
24,Alexandro Farley,5108752131271716,2026-11,146,mastercard,$13.41
25,Guglielma Grelik,5048375162192164,2027-10,721,mastercard,$54.47
26,Scottie Marfe,5048376578716968,2023-10,466,mastercard,$99.58
27,Ignace Cogman,5108750629002833,2025-05,758,mastercard,$38.47
28,Georgia Finey,5108755039648489,2024-12,286,mastercard,$58.24
29,Gail Delmonti,5048375569886277,2026-04,246,mastercard,$26.73
30,Addy Kovelmann,5108755413905802,2024-11,835,mastercard,$64.67
31,Milissent Spinks,5048374320941562,2024-10,681,mastercard,$62.66
32,Delilah Darwin,5048379605397497,2025-12,722,mastercard,$52.85
33,Ericha O'Hickee,5048379147984786,2027-10,255,mastercard,$70.98
34,Berty Tebb,5108757229076034,2025-10,752,mastercard,$22.43
35,Gregoire Congreave,5108751311566762,2026-07,150,mastercard,$32.81
36,Alleen Aikin,5048377267241854,2024-08,955,mastercard,$58.13
37,Aeriell Woodward,5048377049308583,2027-12,093,mastercard,$69.04
38,Elwood Nason,5108751197663402,2025-05,102,mastercard,$43.70
39,Charlena Farraway,5108759291839331,2024-02,635,mastercard,$75.94
40,Bourke Curror,5048376140185429,2026-09,827,mastercard,$83.87
41,Minne Bardill,5108754151913474,2024-03,985,mastercard,$79.04
42,Kylie McGarrity,5048379810788423,2024-11,030,mastercard,$63.43
43,Alberto Vanyukhin,5048375701937426,2025-04,260,mastercard,$22.62
44,Ansel Mackneis,5048374894293002,2027-08,821,mastercard,$47.82
45,Krystyna Rotte,5048371142938842,2026-06,084,mastercard,$72.42
46,Boris Wyldes,5048373223403100,2027-01,405,mastercard,$51.73
47,Sarita Haveline,5048372426987018,2024-09,425,mastercard,$51.86
48,Brinn Burfitt,5048370951371152,2025-01,884,mastercard,$80.48
